Date,Open,High,Low,Close,Adj Close,Volume
11/3/2003,0.4075,0.415,0.400893,0.401786,0.341035,929689600
11/10/2003,0.400893,0.405714,0.38,0.383214,0.325271,1199172800
11/17/2003,0.38125,0.381607,0.354464,0.362143,0.307386,1321460000
11/24/2003,0.366071,0.379821,0.361607,0.373393,0.316935,971706400
12/1/2003,0.375714,0.391071,0.370179,0.372321,0.316025,1122245600
12/8/2003,0.371071,0.381071,0.356429,0.373036,0.316632,930529600
12/15/2003,0.38375,0.38375,0.350357,0.351786,0.298595,1821601600
12/22/2003,0.350893,0.373393,0.34375,0.371071,0.314964,966733600
12/29/2003,0.373393,0.388393,0.3725,0.38,0.322543,757405600
1/5/2004,0.3825,0.430893,0.3825,0.410714,0.348613,2379003200
1/12/2004,0.415179,0.443571,0.401786,0.405714,0.344369,3177636000
1/19/2004,0.404821,0.410179,0.396071,0.402857,0.341944,974780800
1/26/2004,0.401071,0.4175,0.39625,0.402857,0.341944,1251740000
2/2/2004,0.401071,0.409107,0.3875,0.405536,0.344218,1319981600
2/9/2004,0.403929,0.430357,0.400714,0.410714,0.348613,1292116000
2/16/2004,0.4125,0.422143,0.396607,0.4,0.339519,913276000
2/23/2004,0.398929,0.428929,0.390893,0.427143,0.362558,1396656800
3/1/2004,0.430357,0.490893,0.421429,0.4775,0.4053,3004321600
3/8/2004,0.475357,0.5025,0.459821,0.492143,0.417729,3073274400
3/15/2004,0.482679,0.488393,0.453393,0.461786,0.391962,2228240000
3/22/2004,0.453036,0.488571,0.450357,0.482857,0.409847,2219100800
3/29/2004,0.48875,0.499821,0.475357,0.491071,0.416819,1693988800
4/5/2004,0.490714,0.506607,0.480714,0.491607,0.417274,1139700800
4/12/2004,0.491071,0.528214,0.469821,0.521071,0.442283,3471048000
4/19/2004,0.502143,0.513393,0.483036,0.494643,0.419851,2053161600
4/26/2004,0.4925,0.493571,0.455179,0.460357,0.390749,1673453600
5/3/2004,0.464286,0.492321,0.455357,0.47625,0.404239,1498319200
5/10/2004,0.469107,0.495,0.463214,0.483214,0.41015,1288224000
5/17/2004,0.476786,0.491071,0.470714,0.484107,0.410908,1258292000
5/24/2004,0.487321,0.513929,0.484107,0.501071,0.425307,1259440000
5/31/2004,0.49625,0.522321,0.493036,0.513929,0.436221,1150889600
6/7/2004,0.518571,0.553036,0.514464,0.548929,0.465929,1318279200
6/14/2004,0.547321,0.596607,0.526786,0.587679,0.49882,2555834400
6/21/2004,0.591429,0.604107,0.573571,0.601786,0.510794,1717536800
6/28/2004,0.610357,0.610536,0.530893,0.555,0.471082,2737319200
7/5/2004,0.558393,0.561071,0.534821,0.53625,0.455167,1189216000
7/12/2004,0.536071,0.600536,0.513214,0.575,0.488058,3919703200
7/19/2004,0.571607,0.584107,0.544286,0.548214,0.465322,1765864800
7/26/2004,0.550893,0.589286,0.549643,0.5775,0.49018,1569170400
8/2/2004,0.556786,0.576786,0.530357,0.531786,0.451378,1590002400
8/9/2004,0.533036,0.563214,0.532321,0.550714,0.467444,1518524000
8/16/2004,0.553571,0.568929,0.541964,0.55,0.466838,1829049600
8/23/2004,0.551071,0.628214,0.546429,0.613393,0.520646,2479086400
8/30/2004,0.607143,0.642679,0.606429,0.629107,0.533984,1810222400
